output_id,input_id,name,pixels
1,01,rowmans-dot,12
2,03,rowmans-semicolon,24
3,02,rowmans-comma,29
4,04,rowmans-doublequote,40
5,05,rowmans-colon,41
6,08,rowmans-exclamation,49
7,06,symbolic-dots,50
8,07,rowmans-minus,60
9,14,rowmans-equal,64
10,09,rowmans-degrees,80
11,13,rowmans-question,94
12,12,rowmans-plus,116
13,16,rowmans-n,123
14,19,greeks-fountain,132
15,17,maths-include,140
16,25,greeks-psi,168
17,27,music-flat,188
18,26,markers-circle,200
19,34,symbolic-fish,206
20,38,rowmans-g,212
21,41,astrology-comet,220
22,28,rowmans-e,224
23,20,maths-semiinfinity,228
24,30,greeks-alphas,250
25,44,music-diese,254
26,49,rowmans-esperluet,266
27,37,music-silence,268
28,50,maths-percent,272
29,43,meteorology-infinity,288
30,33,astrology-star,292
31,47,meteorology-cyclone,296
32,53,astrology-earth,300
