output_id,input_id,name,pixels
0,25,ha,64
1,24,no,66
2,28,he,70
3,45,n,74
4,14,so,81
5,01,i,81
6,31,mi,83
7,21,ni,85
8,38,re,86
9,19,to,89
10,27,hu,91
11,33,me,93
12,30,ma,94
13,11,shi,95
14,17,tsu,96
15,36,ri,97
16,32,mu,99
17,37,ru,103
18,20,na,104
19,26,hi,105
20,09,ko,107
21,12,su,109
22,07,ku,110
23,08,ke,111
24,35,ra,111
25,41,yu,113
26,00,a,113
27,43,wa,115
28,18,te,118
29,44,wo,119
30,03,e,119
31,22,nu,121
32,02,u,122
33,13,se,126
34,15,ta,126
35,16,chi,128
36,10,sa,130
37,34,mo,130
38,23,ne,135
39,39,ro,135
40,40,ya,136
41,04,o,141
42,05,ka,144
43,29,ho,148
44,42,yo,149
45,06,ki,151
